config,context_samples,horizon_samples,context_sec,horizon_sec,filename,window_end_sec,cardiac_hr_snr,hr_bpm,nrmse_chronos,latency_ms
6s context + 2s horizon,60,20,6.0,2.0,Branco_BEsquerdo.txt,78.0,0.2274875676104562,60.0,0.4067251980304718,415.8556000002136
6s context + 2s horizon,60,20,6.0,2.0,Branco_BEsquerdo.txt,83.0,0.2146113599629008,60.0,0.4247816205024719,411.4944999992076
6s context + 2s horizon,60,20,6.0,2.0,Branco_BEsquerdo.txt,88.0,0.2210038734377739,60.0,0.3991243243217468,416.628099999798
6s context + 2s horizon,60,20,6.0,2.0,Branco_BEsquerdo.txt,93.0,0.2274212544434314,60.0,0.3487315773963928,416.0951999992904
6s context + 2s horizon,60,20,6.0,2.0,Branco_BEsquerdo.txt,98.0,0.165293319859618,60.0,0.419147253036499,409.61409999999887
6s context + 2s horizon,60,20,6.0,2.0,Branco_BEsquerdo.txt,103.0,0.2176446738161843,60.0,0.399519681930542,413.912199999686
6s context + 2s horizon,60,20,6.0,2.0,Branco_BEsquerdo.txt,108.0,0.1719981925114528,60.0,0.3197172284126282,410.4059999999663
6s context + 2s horizon,60,20,6.0,2.0,Branco_BEsquerdo.txt,113.0,0.2223014205411815,60.0,0.2839357256889343,412.2827999999572
6s context + 2s horizon,60,20,6.0,2.0,Branco_BEsquerdo.txt,118.0,0.1765239562491084,60.0,0.3684478104114532,421.4646000000357
6s context + 2s horizon,60,20,6.0,2.0,Branco_BEsquerdo.txt,123.0,0.1772846668496831,60.0,0.3491294085979461,408.95540000019537
6s context + 2s horizon,60,20,6.0,2.0,Branco_BEsquerdo.txt,128.0,0.2032750771377622,60.0,0.0979449599981308,486.499200000253
6s context + 2s horizon,60,20,6.0,2.0,Branco_BEsquerdo.txt,133.0,0.1916574865968272,60.0,0.3548383712768554,417.00719999971625
6s context + 2s horizon,60,20,6.0,2.0,Branco_BEsquerdo.txt,138.0,0.1493625197896094,60.0,0.2837370932102203,521.8552999995154
6s context + 2s horizon,60,20,6.0,2.0,Branco_BEsquerdo.txt,143.0,0.1322614342347484,60.0,0.1255438923835754,430.1483000008375
6s context + 2s horizon,60,20,6.0,2.0,Branco_BEsquerdo.txt,148.0,0.1210431718335489,60.0,0.1862444281578064,438.8183000000936
